iter	Passed	Remaining
0	143	143367
1	145	72656
2	147	48958
3	148	37023
4	149	29824
5	151	25025
6	152	21652
7	153	19079
8	154	17059
9	155	15429
10	156	14100
11	157	12991
12	158	12049
13	159	11244
14	160	10542
15	161	9925
16	162	9385
17	163	8897
18	163	8464
19	164	8071
20	165	7714
21	166	7394
22	167	7101
23	168	6832
24	168	6584
25	169	6355
26	170	6142
27	171	5947
28	172	5762
29	173	5597
30	174	5442
31	174	5292
32	175	5150
33	176	5019
34	177	4894
35	178	4775
36	179	4662
37	180	4558
38	180	4458
39	181	4366
40	182	4276
41	183	4190
42	184	4108
43	185	4031
44	186	3958
45	187	3891
46	188	3824
47	189	3762
48	190	3701
49	191	3645
50	192	3587
51	193	3532
52	194	3479
53	195	3428
54	196	3378
55	197	3330
56	198	3284
57	199	3239
58	200	3198
59	201	3157
60	202	3123
61	204	3089
62	205	3051
63	206	3015
64	207	2980
65	208	2948
66	209	2915
67	210	2882
68	211	2851
69	212	2820
70	213	2790
71	214	2760
72	215	2732
73	216	2704
74	217	2680
75	218	2657
76	219	2632
77	220	2609
78	221	2585
79	222	2562
80	223	2539
81	224	2516
82	225	2490
83	226	2469
84	227	2448
85	228	2427
86	229	2407
87	230	2388
88	231	2372
89	232	2355
90	234	2339
91	235	2323
92	236	2309
93	238	2293
94	239	2277
95	240	2263
96	241	2248
97	242	2233
98	243	2217
99	244	2203
100	245	2188
101	247	2175
102	248	2162
103	249	2148
104	250	2136
105	251	2122
106	252	2109
107	253	2096
108	254	2084
109	256	2071
110	257	2059
111	258	2046
112	259	2034
113	260	2023
114	261	2014
115	263	2006
116	264	1993
117	265	1983
118	266	1972
119	267	1961
120	268	1952
121	269	1940
122	270	1930
123	272	1921
124	273	1912
125	274	1902
126	275	1891
127	276	1883
128	277	1875
129	278	1865
130	280	1858
131	281	1849
132	282	1841
133	283	1831
134	284	1823
135	285	1814
136	286	1805
137	287	1797
138	288	1788
139	289	1780
140	290	1772
141	291	1763
142	292	1755
143	294	1748
144	295	1740
145	296	1732
146	297	1725
147	298	1717
148	299	1710
149	300	1703
150	301	1696
151	302	1689
152	303	1682
153	304	1675
154	306	1670
155	307	1665
156	309	1659
157	310	1653
158	311	1647
159	312	1640
160	313	1632
161	314	1625
162	315	1619
163	316	1613
164	317	1607
165	318	1600
166	319	1594
167	321	1590
168	322	1584
169	323	1579
170	324	1574
171	325	1569
172	327	1564
173	328	1560
174	329	1555
175	331	1550
176	332	1544
177	333	1538
178	334	1533
179	335	1528
180	337	1526
181	338	1521
182	339	1516
183	340	1511
184	341	1506
185	343	1501
186	344	1496
187	345	1491
188	346	1486
189	347	1481
190	348	1476
191	349	1471
192	351	1468
193	352	1464
194	353	1459
195	354	1455
196	356	1451
197	357	1446
198	358	1441
199	359	1437
200	360	1432
201	361	1427
202	362	1422
203	363	1418
204	364	1413
205	365	1410
206	367	1406
207	368	1402
208	369	1398
209	370	1394
210	372	1391
211	373	1388
212	374	1385
213	376	1381
214	377	1378
215	378	1374
216	380	1372
217	381	1369
218	383	1366
219	384	1362
220	385	1359
221	386	1356
222	388	1352
223	389	1348
224	390	1345
225	391	1342
226	393	1338
227	394	1335
228	395	1332
229	397	1330
230	398	1327
231	399	1323
232	401	1320
233	402	1316
234	403	1313
235	404	1309
236	405	1306
237	406	1303
238	408	1299
239	409	1295
240	410	1293
241	412	1291
242	413	1287
243	414	1284
244	415	1281
245	416	1277
246	418	1274
247	419	1271
248	420	1268
249	421	1264
250	422	1261
251	423	1258
252	425	1255
253	426	1253
254	428	1250
255	429	1247
256	430	1243
257	431	1240
258	432	1237
259	433	1234
260	435	1231
261	436	1229
262	437	1226
263	438	1223
264	440	1221
265	441	1219
266	443	1217
267	444	1214
268	445	1211
269	447	1208
270	448	1206
271	449	1203
272	451	1201
273	452	1198
274	453	1195
275	455	1194
276	457	1193
277	458	1190
278	459	1187
279	460	1185
280	462	1182
281	463	1180
282	464	1177
283	465	1174
284	467	1171
285	468	1169
286	469	1166
287	471	1165
288	472	1163
289	474	1160
290	475	1157
291	476	1155
292	477	1153
293	479	1150
294	480	1148
295	481	1146
296	483	1144
297	485	1143
298	487	1142
299	488	1140
300	489	1137
301	491	1135
302	492	1134
303	494	1132
304	495	1129
305	497	1127
306	498	1125
307	500	1123
308	501	1121
309	503	1120
310	504	1117
311	505	1115
312	507	1113
313	508	1110
314	509	1108
315	510	1105
316	511	1102
317	513	1100
318	515	1099
319	516	1097
320	517	1095
321	519	1092
322	520	1090
323	521	1088
324	523	1086
325	524	1083
326	525	1081
327	526	1079
328	528	1076
329	529	1075
330	530	1072
331	532	1070
332	533	1068
333	534	1066
334	536	1064
335	537	1061
336	538	1059
337	539	1056
338	540	1054
339	541	1052
340	543	1050
341	544	1048
342	546	1046
343	547	1043
344	548	1041
345	549	1039
346	551	1036
347	552	1034
348	553	1031
349	554	1028
350	555	1026
351	556	1024
352	557	1022
353	559	1021
354	561	1019
355	562	1017
356	563	1015
357	564	1013
358	566	1010
359	567	1008
360	568	1006
361	569	1003
362	570	1001
363	572	999
364	573	997
365	574	995
366	576	994
367	577	991
368	578	989
369	579	987
370	581	985
371	582	983
372	583	980
373	584	978
374	586	976
375	587	974
376	588	972
377	590	971
378	591	969
379	592	967
380	594	965
381	595	963
382	596	961
383	597	959
384	599	956
385	600	955
386	601	953
387	603	951
388	605	950
389	606	948
390	607	946
391	609	944
392	610	942
393	611	940
394	612	938
395	614	936
396	615	934
397	616	932
398	618	931
399	619	929
400	621	927
401	622	925
402	623	924
403	625	922
404	626	920
405	627	918
406	629	916
407	630	914
408	631	912
409	632	910
410	635	910
411	636	908
412	637	906
413	639	904
414	640	902
415	641	900
416	643	899
417	644	897
418	645	895
419	646	893
420	648	891
421	650	890
422	651	888
423	652	886
424	654	885
425	655	883
426	656	881
427	657	879
428	659	877
429	660	875
430	661	873
431	663	871
432	665	870
433	666	869
434	667	867
435	668	865
436	670	863
437	671	861
438	672	859
439	673	857
440	675	855
441	676	853
442	677	852
443	679	850
444	681	849
445	682	847
446	683	845
447	684	844
448	686	842
449	687	840
450	689	838
451	690	837
452	691	835
453	693	834
454	695	833
455	696	831
456	697	829
457	699	827
458	700	825
459	702	824
460	703	822
461	704	820
462	706	818
463	707	817
464	709	816
465	711	814
466	712	812
467	713	811
468	715	809
469	716	808
470	718	806
471	719	805
472	721	803
473	724	803
474	725	802
475	727	800
476	728	798
477	729	797
478	731	795
479	732	793
480	734	792
481	735	790
482	737	789
483	739	787
484	740	786
485	741	784
486	743	783
487	744	781
488	746	779
489	747	778
490	749	776
491	750	775
492	752	773
493	754	772
494	755	770
495	756	769
496	758	767
497	759	765
498	760	763
499	762	762
500	763	760
501	765	759
502	766	757
503	768	756
504	770	754
505	771	753
506	773	751
507	774	750
508	776	748
509	777	747
510	779	745
511	780	743
512	782	742
513	783	741
514	784	739
515	786	737
516	787	735
517	788	734
518	790	732
519	791	730
520	793	729
521	794	727
522	795	725
523	797	724
524	799	723
525	800	721
526	802	719
527	803	718
528	804	716
529	806	714
530	807	713
531	808	711
532	810	709
533	811	708
534	813	706
535	814	705
536	815	703
537	816	701
538	818	699
539	819	697
540	820	696
541	821	694
542	822	692
543	823	690
544	824	688
545	826	686
546	827	685
547	829	683
548	830	682
549	831	680
550	833	678
551	834	677
552	835	675
553	836	673
554	838	671
555	839	670
556	840	668
557	841	666
558	843	665
559	844	663
560	845	661
561	847	660
562	848	658
563	849	656
564	850	655
565	852	653
566	853	651
567	854	649
568	855	648
569	857	646
570	858	645
571	860	643
572	861	641
573	862	640
574	863	638
575	864	636
576	865	634
577	866	632
578	868	631
579	869	629
580	871	628
581	872	626
582	873	624
583	874	623
584	876	621
585	877	619
586	878	617
587	879	616
588	880	614
589	881	612
590	882	611
591	884	609
592	885	607
593	886	606
594	888	604
595	889	602
596	890	601
597	891	599
598	892	597
599	894	596
600	895	594
601	896	592
602	897	590
603	898	589
604	899	587
605	900	585
606	902	584
607	903	582
608	904	580
609	905	579
610	907	577
611	908	575
612	909	574
613	910	572
614	911	570
615	912	569
616	914	567
617	915	565
618	916	564
619	918	562
620	919	561
621	920	559
622	921	557
623	922	556
624	923	554
625	925	552
626	926	551
627	927	549
628	928	547
629	930	546
630	931	544
631	932	543
632	933	541
633	935	539
634	936	538
635	937	536
636	938	534
637	939	533
638	941	531
639	942	530
640	943	528
641	945	527
642	946	525
643	947	523
644	949	522
645	950	520
646	951	519
647	952	517
648	954	516
649	955	514
650	956	512
651	957	511
652	959	509
653	960	508
654	962	506
655	963	505
656	964	503
657	965	501
658	966	500
659	967	498
660	969	496
661	970	495
662	971	493
663	972	492
664	973	490
665	975	489
666	976	487
667	977	485
668	978	484
669	979	482
670	981	481
671	982	479
672	983	478
673	985	476
674	986	474
675	987	473
676	988	471
677	989	470
678	991	468
679	992	467
680	993	465
681	995	464
682	996	462
683	997	460
684	998	459
685	999	457
686	1001	456
687	1002	454
688	1003	452
689	1004	451
690	1005	449
691	1006	448
692	1008	446
693	1009	445
694	1010	443
695	1011	441
696	1012	440
697	1014	438
698	1015	437
699	1016	435
700	1017	433
701	1018	432
702	1019	430
703	1021	429
704	1022	427
705	1023	426
706	1024	424
707	1025	423
708	1027	421
709	1028	419
710	1029	418
711	1030	416
712	1031	415
713	1032	413
714	1033	411
715	1034	410
716	1035	408
717	1036	407
718	1038	405
719	1039	404
720	1040	402
721	1041	401
722	1043	399
723	1044	398
724	1045	396
725	1046	395
726	1047	393
727	1049	391
728	1050	390
729	1051	388
730	1052	387
731	1054	385
732	1055	384
733	1056	382
734	1057	381
735	1058	379
736	1059	378
737	1061	376
738	1062	375
739	1063	373
740	1065	372
741	1066	370
742	1068	369
743	1069	367
744	1070	366
745	1071	364
746	1073	363
747	1074	361
748	1075	360
749	1076	358
750	1078	357
751	1079	356
752	1080	354
753	1082	353
754	1083	351
755	1084	350
756	1086	348
757	1087	347
758	1089	345
759	1090	344
760	1091	342
761	1092	341
762	1094	339
763	1095	338
764	1096	336
765	1098	335
766	1099	334
767	1100	332
768	1101	330
769	1102	329
770	1103	327
771	1105	326
772	1106	324
773	1107	323
774	1108	321
775	1109	320
776	1111	318
777	1112	317
778	1113	315
779	1114	314
780	1115	312
781	1116	311
782	1117	309
783	1119	308
784	1120	306
785	1121	305
786	1122	303
787	1123	302
788	1125	300
789	1126	299
790	1127	298
791	1129	296
792	1130	295
793	1131	293
794	1132	291
795	1133	290
796	1134	288
797	1135	287
798	1136	285
799	1137	284
800	1139	283
801	1140	281
802	1141	280
803	1142	278
804	1144	277
805	1145	275
806	1146	274
807	1147	272
808	1148	271
809	1149	269
810	1151	268
811	1152	266
812	1153	265
813	1154	263
814	1156	262
815	1157	261
816	1158	259
817	1159	258
818	1161	256
819	1162	255
820	1163	253
821	1164	252
822	1165	250
823	1167	249
824	1168	247
825	1169	246
826	1170	244
827	1172	243
828	1173	242
829	1174	240
830	1175	239
831	1177	237
832	1178	236
833	1179	234
834	1180	233
835	1182	231
836	1183	230
837	1184	229
838	1185	227
839	1187	226
840	1188	224
841	1189	223
842	1191	221
843	1192	220
844	1193	218
845	1194	217
846	1195	216
847	1197	214
848	1198	213
849	1199	211
850	1201	210
851	1202	208
852	1203	207
853	1204	205
854	1205	204
855	1207	203
856	1208	201
857	1209	200
858	1211	198
859	1212	197
860	1213	195
861	1215	194
862	1216	193
863	1217	191
864	1218	190
865	1219	188
866	1220	187
867	1221	185
868	1222	184
869	1223	182
870	1225	181
871	1226	179
872	1227	178
873	1228	177
874	1229	175
875	1230	174
876	1231	172
877	1232	171
878	1233	169
879	1235	168
880	1236	167
881	1237	165
882	1238	164
883	1239	162
884	1240	161
885	1241	159
886	1243	158
887	1244	156
888	1245	155
889	1246	154
890	1248	152
891	1249	151
892	1250	149
893	1251	148
894	1252	146
895	1253	145
896	1254	144
897	1255	142
898	1256	141
899	1258	139
900	1259	138
901	1260	136
902	1262	135
903	1263	134
904	1264	132
905	1265	131
906	1266	129
907	1267	128
908	1269	127
909	1270	125
910	1271	124
911	1272	122
912	1273	121
913	1274	119
914	1275	118
915	1277	117
916	1278	115
917	1279	114
918	1281	112
919	1282	111
920	1283	110
921	1284	108
922	1285	107
923	1286	105
924	1287	104
925	1289	103
926	1290	101
927	1291	100
928	1292	98
929	1293	97
930	1294	95
931	1296	94
932	1297	93
933	1298	91
934	1299	90
935	1300	88
936	1301	87
937	1303	86
938	1304	84
939	1305	83
940	1307	81
941	1308	80
942	1309	79
943	1310	77
944	1311	76
945	1312	74
946	1313	73
947	1315	72
948	1316	70
949	1317	69
950	1319	67
951	1320	66
952	1321	65
953	1322	63
954	1323	62
955	1324	60
956	1326	59
957	1327	58
958	1328	56
959	1329	55
960	1330	53
961	1331	52
962	1332	51
963	1334	49
964	1335	48
965	1336	47
966	1337	45
967	1338	44
968	1339	42
969	1340	41
970	1341	40
971	1343	38
972	1344	37
973	1345	35
974	1346	34
975	1347	33
976	1349	31
977	1350	30
978	1351	29
979	1353	27
980	1354	26
981	1355	24
982	1356	23
983	1357	22
984	1358	20
985	1360	19
986	1361	17
987	1362	16
988	1364	15
989	1365	13
990	1366	12
991	1368	11
992	1369	9
993	1370	8
994	1372	6
995	1373	5
996	1374	4
997	1375	2
998	1377	1
999	1378	0
